n,avg_deg_target,m,cut,flips,passes,time_sec,seed_graph,seed_local,edges_sha256
100,8.0,408,280,43,44,0.0011168270000041502,20251125240339,563900334602129280,07d37236c98f5d93fb5646d7c761a147f773dba3cbd38bb14ea9c1d576c57744
100,8.0,406,283,40,41,0.001036765999998579,20251125240340,7029927332638325274,618f43c2a797280ea37e7347e0a097a27ec8a4b9d2ca8567a7ef2e890fc0a751
100,8.0,354,262,47,48,0.000927285000003053,20251125240341,10590156300442647155,92f7d960c69fe866678cbcff916a9510798d711eced3df5ed72589e593c21f00
100,8.0,374,265,42,43,0.0010302769999981365,20251125240342,2009628679131244720,1be3b0c9cb2e7aa63b0a83cc0f908635e4188044633f8b8e5876fc4de5ae8581
100,8.0,371,261,37,38,0.0009296689999871433,20251125240343,4650543200725371267,408a1e0dd6f85b949c9dff26cdadaa57d6b9a1db83cc2ac92d0dbea0d205251f
100,8.0,401,289,47,48,0.0012498340000064445,20251125240344,7342525175750059921,65e5f1d5a3d1b589103f790b89f742203a38b01336f6eaa82ab4c61cc900b7dd
100,8.0,414,294,48,49,0.001188018999997098,20251125240345,2110519156348999582,1d4a039688f685875d660b1bc60fc914a26da47a6b556694706c1e04525e06a3
100,8.0,405,283,41,42,0.0011578670000034208,20251125240346,3135229462939836704,2b8280fecefe733ac209a9a1d1814565ac695bd0f13e5c602b1329c3e57fd1bf
100,8.0,397,277,35,36,0.0009030760000001692,20251125240347,15173091267160020353,d291b476e687c79aa1ac64430f8d4b2413c85b3f022f0a345d02fe8f6b8f7ba2
100,8.0,394,284,38,39,0.0011548979999957965,20251125240348,15033186599086599341,d0a089fb1d987eb164937bb8df9b1b0b447be6cf9cc98de6e9aa59236ce4cb07
100,8.0,413,292,49,50,0.0013524120000028006,20251125240349,10252407408007428160,8e47cc5cdbfdea5dc483048c8194761776956e842149056b33fb24b191d20be9
100,8.0,399,282,54,55,0.0014636239999958889,20251125240350,12397533514596775707,ac0cf160f9aa2505d57ad68e9f241ab15858c62d8d6d8cafd5c00560d6320817
100,8.0,402,288,38,39,0.0009665470000044252,20251125240351,1196865473735514383,109c0ca588cf0b10eca585e49cbe6814208f8d0809872f229aac9025c41c3735
100,8.0,395,271,33,34,0.0009596560000062482,20251125240352,16325265377217383870,e28eec368c26df9ee240da6d1710c8435f3c839bcc72680bf93181e81c7c9043
100,8.0,418,289,34,35,0.0008973270000041111,20251125240353,8060589943956420812,6fdce5b3f4bbeaed75d9249dc42cf02855694bb699509e53dd7a0d819ee7d274
200,8.0,855,600,91,92,0.004783058000001006,20251126032239,7741929113316972358,6b70c9e986af30298b0ecf6d51661c0987d4c8c513baa7d62aeb4b90e46833c2
200,8.0,881,601,78,79,0.0035852689999984477,20251126032240,17755966176766135513,f669cf42b4d36ba949144d6db466792e4d3a2df91661ee95398f5673c0645969
200,8.0,808,576,79,80,0.019778252999998358,20251126032241,586582095883406767,0823e725e5906ade6474898918e400f89a9fb86b4b7acc2583a3c08dbce22de8
200,8.0,784,564,92,93,0.003788716999991948,20251126032242,2069872559270187957,1cb9b84b548cb4c7fda46164af19baeffc336d3ee610f4a6436285e3473fed96
200,8.0,817,575,89,90,0.004101739999995857,20251126032243,17955655706694223081,f92f5fd07f95e39a00064947ef883f60cb43a963a8ad4d50a326c52cc8f58466
200,8.0,768,538,66,67,0.0031254660000001877,20251126032244,14152387670562686951,c46773f186ada0932221058de008a843c1bbc3b862b12bec3a6375fa15b92aae
200,8.0,797,555,91,92,0.0037783829999966656,20251126032245,15512973733446768845,d74935004d233fb8fd398cabc28e3311896416d8f0d3467827dc116ec093c818
200,8.0,831,586,95,96,0.004686573000000749,20251126032246,2206399409920772576,1e9ea6f9d1d9ee9600762178338335f5553be01bff6c8e3e087e3ef9628fe5dd
200,8.0,797,550,78,79,0.003335598000006712,20251126032247,18283933245034824729,fdbd8602e26de36e5fbe15a775af9c05b0865e82849a7c27d5eb388b77447295
200,8.0,837,591,80,81,0.0035819320000030075,20251126032248,13369023970412148411,b98842131b3551c364606bb2e214f1306aa6e0e5d80eeaab0b0bf47b12a7cf33
200,8.0,803,570,87,88,0.0042190739999909965,20251126032249,17194393145008029632,ee9ed31c25b118b9e9e7100140ea2b1e64a28482567392fd344288f4c495e6a1
200,8.0,785,545,85,86,0.003126632999993717,20251126032250,4403809010571021195,3d1d6a9d60ec6cf175136314a172c4b4982e2ffd54891b815111287a64bec47e
200,8.0,780,544,64,65,0.0027199790000054236,20251126032251,18094705876570038721,fb1d5d74ed0d06baa7d1107e79880cf8882f17886544e209ca71f4fcf37d449c
200,8.0,781,556,82,83,0.0030601459999957115,20251126032252,2118768577131094034,1d6772a08404c76e007776bd156195372f0dad7519dbe913e672c4c1e7e24982
200,8.0,767,547,75,76,0.0032636219999915284,20251126032253,14096832533988114363,c3a210eb4bab98c60014b558591f23b3504a6b18260b87018050200e5ff54f55
400,8.0,1587,1131,171,172,0.023361487000002512,20251127616039,5928300913040818590,52459c2e4e2893b9a971c25306fa0e01e66df42acd503b7ff2df4aa6ea462792
400,8.0,1558,1116,158,159,0.014008438999994155,20251127616040,3901036425632356971,3623519ef0e9884349c9d2c9ebdb1dcf3e7e27e34269800b926d31f48da1ea90
400,8.0,1575,1099,149,150,0.013496322000008831,20251127616041,2849354902916046765,278ae35b1e108d846458d23de4b8db68162c49aa765f7e59d2b08dbc1b553df1
400,8.0,1639,1142,165,166,0.015251057000000401,20251127616042,11909470347297394027,a546e2459cf11f41f39ace8d105f07cb055a64ae70d07127023f22cee4fdba46
